course_name,login_count,active_days,login_frequency,login_consistency,course_access_count,module_completion_rate,page_view_count,class_exercise_submissions,class_exercises_attempted,total_practice,exercises_attempted,quiz_attempt_count,quiz_completion_rate,quiz_average_score,quiz_view_count,mock_exam_score,portal_based_exam_score,model_exam_score,pba_score,cia_score,end_semester_score,in_between_assessment_grade,pba_assessment_score,average_access_hour,study_session_count,time_spent_on_course_minutes,study_frequency_per_week,week_1_6_engagement,week_1_9_engagement,week_1_12_engagement,week_1_16_engagement,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,completed_modules,study_interval_regularity
Course 3,213,87,2.45,0.37,129,100.0,0,0,0,0,0,88,100.0,33.54,1386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88,37,3906.0,11,2507,2907,3193,3193,0,109,622,932,728,116,190,114,96,159,82,45,0,0,0,0,83,0.786
Course 3,217,66,3.29,0.28,122,100.0,0,0,0,0,0,95,100.0,32.2,1254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,37,4387.0,11,2283,2623,2895,2895,0,100,610,794,694,85,159,104,77,105,67,100,0,0,0,0,92,0.751
Course 3,331,99,3.34,0.42,146,100.0,0,0,0,0,0,102,100.0,34.48,1451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14,46,5945.0,11,2663,2977,3419,3419,0,395,373,1080,641,174,176,37,101,179,129,134,0,0,0,0,100,0.79
Course 3,160,68,2.35,0.29,112,100.0,0,0,0,0,0,91,100.0,36.05,1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.09,34,2383.0,11,2173,2615,2841,2841,0,165,640,668,699,1,173,37,232,62,44,120,0,0,0,0,89,0.759
Course 3,234,81,2.89,0.34,133,100.0,0,0,0,0,0,92,100.0,32.11,1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13,39,2920.0,11,2287,2546,2728,2728,0,97,698,725,679,88,92,94,73,30,29,123,0,0,0,0,90,0.76
Course 3,204,87,2.34,0.37,137,100.0,0,0,0,0,0,122,100.0,30.86,1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.39,50,6275.0,12,2434,2956,3375,3375,1,146,532,815,661,279,179,130,213,155,71,193,0,0,0,0,115,0.79
Course 3,439,111,3.95,0.47,243,100.0,0,0,0,0,0,133,100.0,33.17,1713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.32,68,13178.0,13,3010,3509,3968,3969,282,238,501,879,750,360,237,115,147,131,178,150,1,0,0,0,123,0.848
Course 3,170,64,2.66,0.28,122,100.0,0,0,0,0,0,86,100.0,35.47,1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,34,4880.0,9,2382,2688,2755,2755,0,96,716,863,535,172,188,39,79,67,0,0,0,0,0,0,83,0.789
Course 3,230,110,2.09,0.47,68,100.0,0,0,0,0,0,118,100.0,28.94,1496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,58,8460.0,12,2715,3242,3878,3878,4,303,654,933,721,100,189,119,219,229,189,218,0,0,0,0,113,0.834
Course 3,194,77,2.52,0.33,109,100.0,0,0,0,0,0,78,100.0,33.51,1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.45,37,4468.0,9,3210,3347,3468,3468,0,680,538,1229,763,0,103,0,34,30,32,59,0,0,0,0,71,0.748
Course 3,171,97,1.76,0.41,93,100.0,0,0,0,0,0,101,100.0,30.36,1205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,42,4234.0,10,2144,2577,2907,2907,0,73,731,860,480,0,43,153,237,162,166,2,0,0,0,0,98,0.781
